created_at,product,amount
2024-07-20 14:51:32.402484,FOR-QUARTZ 9000 SAE 5W40 500ML,1500
2024-07-18 22:04:47.494995,CHI-QUARTZ 5000 20W50 500ML,300
2024-07-14 10:50:50.016822,MAR-RUBIA SX SAE40 500ML,300
2024-07-16 17:02:24.410941,SUN-QUARTZ 5000 20W50 500ML,300
2024-07-11 09:24:18.395570,TRO-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-11 09:39:27.881896,SEK-FLUIDMATIC DIII MV 500ML,300
2024-07-06 14:33:55.757533,TUR-RUBIA TIR 7400 SAE 15W40 5L,2500
2024-07-11 09:59:38.482673,15W40 500ML,300
2024-05-05 12:35:06.250218,15W40 500ML,1000
2024-07-20 15:36:15.084559,SAE40 500ML,300
2024-07-18 23:04:39.111871,FIF-QUARTZ 5000 20W50 500ML,300
2024-07-18 23:07:02.707064,FIF-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-11 10:16:24.525528,KIR-QUARTZ 3000 SG 20W50 500ML,600
2024-07-16 17:40:02.424523,KAD-QUARTZ 4X4 15W40 500ML,600
2024-07-11 10:24:36.900698,TUR-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-06 15:03:32.998971,CHI-QUARTZ 5000 20W50 500ML,300
2024-07-06 15:02:08.971892,CVT 1LTR,2000
2024-07-11 10:41:42.193833,KIR-QUARTZ 4X4 15W40 500ML,800
2024-07-19 05:35:04.546033,KIR-RUBIA SX SAE40 500ML,300
2024-07-06 16:05:02.284332,MPO-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-14 12:08:18.716018,MSA-QUARTZ 5000 20W50 500ML,600
2024-07-06 16:16:46.868615,MGM-QUARTZ 4X4 15W40 500ML,600
2024-07-11 11:17:03.040481,5W40 500ML,500
2024-07-14 12:27:14.948440,GWE-NEPTUNA 2T SUPER SPORT 500ML,400
2024-07-14 12:36:27.224593,MSA-QUARTZ 5000 20W50 500ML,1500
2024-07-11 11:26:23.673971,MPO-QUARTZ 5000 20W50 500ML,600
2024-07-06 16:25:43.729773,CHA-QUARTZ 5000 20W50 500ML,300
2024-07-06 16:40:38.855089,SUN-RUBIA TIR 7400 15W40 500ML,300
2024-07-14 12:43:39.852789,TRO-RUBIA SX SAE40 500ML,300
2024-07-19 06:26:11.439412,ROA-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-24 19:30:57.263617,MPO-QUARTZ 3000 SG 20W50 5L,1800
2024-07-22 14:05:16.558478,TUR-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-22 14:05:38.732649,TUR-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-06 17:48:39.554790,ROA-QUARTZ 5000 20W50 500ML,600
2024-07-06 17:56:11.530222,KAD-RUBIA SX SAE40 500ML,400
2024-07-16 18:53:06.436971,GWE-QUARTZ 5000 20W50 5L,300
2024-07-16 19:02:13.732761,ATF 500ML,300
2024-07-25 13:25:26.730513,FOR-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-22 14:04:08.121999,CHA-RUBIA SX SAE40 500ML,300
2024-07-11 12:20:14.517928,MAR-FLUIDMATIC CVT MV 1L,300
2024-07-14 13:23:36.618351,SEK-RACE BRAKEFLUID DOT4+ 500ML,400
2024-05-07 15:00:58.868043,15W40 500ML,600
2024-05-07 15:04:31.179097,80W90 5LTRS,1000
2024-07-11 12:32:31.052313,ATF 500ML,600
2024-07-06 19:03:50.136912,CVT 1LTR,1000
2024-07-16 19:21:34.248918,MAR-RUBIA TIR 7400 SAE 15W40 5L,2500
2024-07-06 19:06:48.735875,15W40 500ML,300
2024-07-06 19:06:06.759019,15W40 500ML,300
2024-07-20 17:33:00.938253,20W50 500ML,300
2024-07-06 19:24:08.325352,5W40 500ML,300
2024-07-06 19:24:29.411208,15W40 500ML,300
2024-07-22 14:34:39.340887,CRI-RUBIA TIR 7400 15W40 500ML,600
2024-07-06 20:10:19.914535,CHA-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-16 20:37:06.202058,MAR-QUARTZ 9000 SAE 5W40 5L,3000
2024-07-06 20:20:22.140911,BAN-QUARTZ 4X4 15W40 500ML,600
2024-07-06 21:54:07.623102,CHI-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-11 14:20:08.439048,KIR-QUARTZ 4X4 15W40 5L,7500
2024-07-24 20:08:08.056764,TRO-MULTAGRI MS 15W40 5L,2500
2024-07-22 14:49:21.555341,MOS-QUARTZ 5000 20W50 500ML,600
2024-07-22 14:50:06.236113,ATF 500ML,300
2024-07-07 05:00:56.347639,5W40 500ML,500
2024-07-07 05:00:56.368503,15W40 500ML,300
2024-07-07 05:00:56.384725,SUN-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-11 15:06:31.929249,SEK-QUARTZ 5000 20W50 500ML,300
2024-07-07 06:21:01.718183,GWE-QUARTZ 5000 20W50 500ML,300
2024-07-07 06:28:57.695835,CHE-QUARTZ 5000 20W50 500ML,300
2024-07-07 07:49:57.277374,KIR-QUARTZ 4X4 15W40 5L,2500
2024-07-07 07:51:32.386037,KIR-QUARTZ 3000 SG 20W50 500ML,1200
2024-07-11 16:14:59.030449,AVO-RUBIA SX SAE40 500ML,800
2024-07-19 08:34:38.262282,15W40 500ML,600
2024-07-20 18:44:06.803073,GWE-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-24 20:16:51.532370,FIF-QUARTZ 5000 20W50 500ML,600
2024-07-14 16:08:54.478964,SEK-QUARTZ 3000 SG 20W50 500ML,300
2024-07-07 09:59:41.224048,TUR-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-11 17:03:11.237025,RM-RUBIA TIR 7400 15W40 500ML,1200
2024-07-11 17:04:47.912324,RM-FLUIDMATIC DIII MV 500ML,600
2024-07-11 17:05:41.495079,RM-QUARTZ 4X4 15W40 500ML,900
2024-07-11 17:03:54.342470,KIR-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-11 17:04:05.028999,RM-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-07 10:29:37.044943,FOR-RUBIA SX SAE40 500ML,400
2024-07-11 17:21:30.049179,SUN-QUARTZ 5000 20W50 500ML,300
2024-05-13 15:11:37.689174,15W40 5LTRS,8000
