created_at,description,product,amount
2025-06-30 16:15:10,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,52.51
2025-07-01 13:05:21,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,75.0
2025-07-01 14:12:55,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,10.2
2025-07-01 14:16:08,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,34.56
2025-07-01 14:39:19,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,20.0
2025-07-01 15:14:46,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,24.76
2025-07-02 09:38:36,SALE : 15W40 500ML : MSASA,15W40 500ML,5.0
2025-07-02 12:10:23,SALE : 5W40 500ML : MSASA,5W40 500ML,10.0
2025-07-02 16:30:08,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,35.8
2025-07-03 07:33:38,SALE : MSA-QUARTZ 4X4 15W40 5L : MSASA,MSA-QUARTZ 4X4 15W40 5L,25.0
2025-07-03 14:10:28,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,64.41
2025-07-03 14:33:45,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,61.71
2025-07-03 14:49:04,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,42.19
2025-07-03 15:40:55,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,3.3
2025-07-04 10:00:05,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,19.9
2025-07-04 10:40:36,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,118.0
2025-07-04 10:58:58,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,30.75
2025-07-04 11:24:53,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,8.85
2025-07-04 11:56:46,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,49.34
2025-07-04 12:20:09,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,24.62
2025-07-04 13:35:07,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,12.7
2025-07-04 15:34:33,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,5.41
2025-07-04 15:59:22,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,30.0
2025-07-05 08:20:26,SALE : RUN-FLUIDMATIC CVT MV 1L : RUNIVILLE,RUN-FLUIDMATIC CVT MV 1L,10.0
2025-07-05 08:22:45,SALE : RUN-QUARTZ 4X4 15W40 500ML : RUNIVILLE,RUN-QUARTZ 4X4 15W40 500ML,3.0
2025-07-05 17:54:41,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,6.5
2025-07-06 14:56:58,SALE : KIR-QUARTZ 9000 SAE 5W40 500ML : KIRKMAN,KIR-QUARTZ 9000 SAE 5W40 500ML,5.0
2025-07-07 09:02:13,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,50.97
2025-07-07 09:40:21,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,125.0
2025-07-07 10:44:14,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,77.66
2025-07-07 14:52:20,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,20.0
2025-07-07 14:53:27,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,5.0
2025-07-07 16:32:40,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,3.2
2025-07-07 16:58:58,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,5.0
2025-07-07 19:56:05,SALE : RUN-RACE BRAKEFLUID DOT4+ 500ML : RUNIVILLE,RUN-RACE BRAKEFLUID DOT4+ 500ML,4.0
2025-07-08 07:39:16,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,3.5
2025-07-08 08:40:48,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,51.12
2025-07-08 10:52:40,SALE : MSA-QUARTZ 9000 SAE 5W40 500ML : MSASA,MSA-QUARTZ 9000 SAE 5W40 500ML,10.0
2025-07-08 15:56:51,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,20.0
2025-07-08 15:59:13,SALE : RUN-QUARTZ 3000 SG 20W50 500ML : RUNIVILLE,RUN-QUARTZ 3000 SG 20W50 500ML,3.0
2025-07-08 16:02:25,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,19.95
2025-07-08 16:07:11,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,15.39
2025-07-08 16:11:43,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,13.02
2025-07-08 16:14:30,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,10.0
2025-07-09 09:07:14,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,1.23
2025-07-09 09:16:37,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.13
2025-07-09 09:17:59,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,4.2
2025-07-09 09:22:11,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.13
2025-07-09 09:54:46,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,71.52
2025-07-09 12:26:08,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,48.05
