sale_date,service_station_id,site_name,product,total_litres,total_amount,avg_price,channel,year
2025-05-30,114,Kadoma,DIESEL,20.0,28.4,1.42,COUPON,2025
2025-05-30,121,Gweru,DIESEL,60.0,87.0,1.45,COUPON,2025
2025-05-30,123,Fife Street,DIESEL,20.0,28.6,1.43,COUPON,2025
2025-05-31,84,Avondale,PETROL,20.0,29.4,1.47,COUPON,2025
2025-05-31,96,Samora,DIESEL,60.0,87.0,1.45,COUPON,2025
2025-05-31,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-05-31,121,Gweru,DIESEL,80.0,116.0,1.45,COUPON,2025
2025-05-31,131,R Mugabe,DIESEL,40.0,57.2,1.43,COUPON,2025
2025-05-31,148,Chegutu,DIESEL,40.0,57.6,1.44,COUPON,2025
2025-06-01,102,Kirkman,PETROL,20.0,29.2,1.46,COUPON,2025
2025-06-01,149,Turnpike,PETROL,20.0,29.6,1.48,COUPON,2025
2025-06-02,121,Gweru,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-06-02,148,Chegutu,DIESEL,40.0,57.6,1.44,COUPON,2025
2025-06-03,121,Gweru,DIESEL,100.0,145.0,1.45,COUPON,2025
2025-06-03,123,Fife Street,DIESEL,20.0,28.6,1.43,COUPON,2025
2025-06-04,121,Gweru,DIESEL,120.0,174.0,1.45,COUPON,2025
2025-06-04,147,Chinhoyi Main,DIESEL,40.0,57.2,1.43,COUPON,2025
2025-06-05,84,Avondale,PETROL,20.0,29.4,1.47,COUPON,2025
2025-06-05,96,Samora,PETROL,20.0,29.2,1.46,COUPON,2025
2025-06-05,121,Gweru,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-06,82,Runiville,PETROL,20.0,29.4,1.47,COUPON,2025
2025-06-06,84,Avondale,DIESEL,40.0,60.0,1.5,COUPON,2025
2025-06-06,121,Gweru,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-06-06,131,R Mugabe,DIESEL,40.0,57.2,1.43,COUPON,2025
2025-06-07,96,Samora,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-07,121,Gweru,DIESEL,80.0,116.0,1.45,COUPON,2025
2025-06-07,131,R Mugabe,DIESEL,20.0,28.6,1.43,COUPON,2025
2025-06-08,98,Roadport,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-08,121,Gweru,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-06-08,149,Turnpike,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-06-09,82,Runiville,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-09,84,Avondale,DIESEL,40.0,60.0,1.5,COUPON,2025
2025-06-09,148,Chegutu,DIESEL,40.0,57.6,1.44,COUPON,2025
2025-06-09,149,Turnpike,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-10,121,Gweru,DIESEL,1060.0,1537.0,1.45,COUPON,2025
2025-06-11,84,Avondale,PETROL,20.0,29.4,1.47,COUPON,2025
2025-06-11,121,Gweru,DIESEL,120.0,174.0,1.45,COUPON,2025
2025-06-11,148,Chegutu,DIESEL,20.0,28.8,1.44,COUPON,2025
2025-06-12,96,Samora,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-12,121,Gweru,DIESEL,1120.0,1624.0,1.45,COUPON,2025
2025-06-12,131,R Mugabe,DIESEL,20.0,28.6,1.43,COUPON,2025
2025-06-13,84,Avondale,PETROL,40.0,58.8,1.47,COUPON,2025
2025-06-13,121,Gweru,DIESEL,1080.0,1566.0,1.45,COUPON,2025
2025-06-13,121,Gweru,PETROL,20.0,29.2,1.46,COUPON,2025
2025-06-13,131,R Mugabe,DIESEL,60.0,85.8,1.43,COUPON,2025
2025-06-13,148,Chegutu,DIESEL,40.0,57.6,1.44,COUPON,2025
2025-06-14,121,Gweru,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-14,123,Fife Street,DIESEL,40.0,57.2,1.43,COUPON,2025
2025-06-14,131,R Mugabe,DIESEL,20.0,28.6,1.43,COUPON,2025
2025-06-15,121,Gweru,DIESEL,1060.0,1537.0,1.45,COUPON,2025
2025-06-15,123,Fife Street,DIESEL,20.0,28.6,1.43,COUPON,2025
2025-06-15,131,R Mugabe,DIESEL,40.0,57.2,1.43,COUPON,2025
2025-06-16,82,Runiville,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-16,121,Gweru,DIESEL,1120.0,1624.0,1.45,COUPON,2025
2025-06-16,121,Gweru,PETROL,40.0,58.4,1.46,COUPON,2025
2025-06-16,148,Chegutu,DIESEL,40.0,57.6,1.44,COUPON,2025
2025-06-17,121,Gweru,DIESEL,1040.0,1508.0,1.45,COUPON,2025
2025-06-17,123,Fife Street,DIESEL,20.0,28.6,1.43,COUPON,2025
2025-06-18,121,Gweru,DIESEL,1000.0,1450.0,1.45,COUPON,2025
2025-06-19,121,Gweru,DIESEL,60.0,86.4,1.44,COUPON,2025
2025-06-20,121,Gweru,DIESEL,1080.0,1555.2,1.44,COUPON,2025
2025-06-20,148,Chegutu,PETROL,20.0,29.8,1.49,COUPON,2025
2025-06-21,96,Samora,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-21,121,Gweru,DIESEL,1000.0,1440.0,1.44,COUPON,2025
2025-06-22,121,Gweru,DIESEL,80.0,115.2,1.44,COUPON,2025
2025-06-22,121,Gweru,PETROL,20.0,29.4,1.47,COUPON,2025
2025-06-22,123,Fife Street,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-22,148,Chegutu,DIESEL,20.0,28.8,1.44,COUPON,2025
2025-06-23,121,Gweru,DIESEL,1060.0,1526.4,1.44,COUPON,2025
2025-06-23,121,Gweru,PETROL,20.0,29.4,1.47,COUPON,2025
2025-06-24,121,Gweru,DIESEL,40.0,57.6,1.44,COUPON,2025
2025-06-24,121,Gweru,PETROL,20.0,29.4,1.47,COUPON,2025
2025-06-24,149,Turnpike,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-06-25,84,Avondale,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-06-25,92,Msasa,PETROL,20.0,30.4,1.52,COUPON,2025
2025-06-25,121,Gweru,DIESEL,40.0,57.6,1.44,COUPON,2025
2025-06-25,131,R Mugabe,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-06-26,84,Avondale,PETROL,100.0,150.0,1.5,COUPON,2025
2025-06-27,84,Avondale,PETROL,40.0,60.0,1.5,COUPON,2025
2025-06-27,121,Gweru,DIESEL,1000.0,1450.0,1.45,COUPON,2025
2025-06-27,121,Gweru,PETROL,60.0,88.2,1.47,COUPON,2025
2025-06-27,131,R Mugabe,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-06-27,148,Chegutu,DIESEL,60.0,87.0,1.45,COUPON,2025
2025-06-28,84,Avondale,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-06-28,121,Gweru,DIESEL,1080.0,1566.0,1.45,COUPON,2025
2025-06-28,121,Gweru,PETROL,20.0,29.4,1.47,COUPON,2025
2025-06-29,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-06-29,121,Gweru,DIESEL,100.0,145.0,1.45,COUPON,2025
2025-06-30,98,Roadport,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-06-30,121,Gweru,DIESEL,1020.0,1479.0,1.45,COUPON,2025
2025-07-01,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-01,110,Mutare Green Market,DIESEL,1000.0,1400.0,1.4,COUPON,2025
2025-07-01,121,Gweru,DIESEL,1000.0,1450.0,1.45,COUPON,2025
2025-07-02,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-02,121,Gweru,DIESEL,1000.0,1450.0,1.45,COUPON,2025
2025-07-03,121,Gweru,DIESEL,1060.0,1537.0,1.45,COUPON,2025
2025-07-03,148,Chegutu,DIESEL,40.0,58.8,1.47,COUPON,2025
2025-07-04,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-04,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-04,121,Gweru,DIESEL,120.0,174.0,1.45,COUPON,2025
2025-07-04,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-05,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-05,96,Samora,PETROL,20.0,29.0,1.45,COUPON,2025
2025-07-05,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-05,121,Gweru,DIESEL,520.0,754.0,1.45,COUPON,2025
2025-07-05,121,Gweru,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-05,135,Cripps,PETROL,20.0,29.6,1.48,COUPON,2025
2025-07-06,84,Avondale,PETROL,60.0,90.0,1.5,COUPON,2025
2025-07-06,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-06,121,Gweru,DIESEL,540.0,783.0,1.45,COUPON,2025
2025-07-06,121,Gweru,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-07,82,Runiville,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-07-07,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-07-07,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-07,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-07,121,Gweru,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-07-08,82,Runiville,PETROL,60.0,91.2,1.52,COUPON,2025
2025-07-08,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-08,114,Kadoma,DIESEL,20.0,29.0,1.45,COUPON,2025
2025-07-08,148,Chegutu,DIESEL,20.0,29.4,1.47,COUPON,2025
2025-07-09,121,Gweru,DIESEL,1020.0,1479.0,1.45,COUPON,2025
2025-07-09,131,R Mugabe,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-07-10,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-11,98,Roadport,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-11,121,Gweru,DIESEL,220.0,319.0,1.45,COUPON,2025
2025-07-11,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-12,121,Gweru,DIESEL,1020.0,1479.0,1.45,COUPON,2025
2025-07-13,84,Avondale,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-07-14,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-14,98,Roadport,PETROL,40.0,60.6,1.515,COUPON,2025
2025-07-15,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-07-15,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-15,98,Roadport,PETROL,40.0,61.2,1.53,COUPON,2025
2025-07-15,135,Cripps,PETROL,20.0,29.6,1.48,COUPON,2025
2025-07-15,145,Sunway City,PETROL,20.0,30.2,1.51,COUPON,2025
2025-07-16,121,Gweru,DIESEL,1080.0,1576.8,1.46,COUPON,2025
2025-07-16,148,Chegutu,DIESEL,40.0,58.8,1.47,COUPON,2025
2025-07-17,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-07-17,84,Avondale,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-17,98,Roadport,PETROL,20.0,30.6,1.53,COUPON,2025
2025-07-17,121,Gweru,DIESEL,60.0,87.6,1.46,COUPON,2025
2025-07-17,121,Gweru,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-18,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-18,96,Samora,PETROL,20.0,29.0,1.45,COUPON,2025
2025-07-18,121,Gweru,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-18,145,Sunway City,PETROL,20.0,30.2,1.51,COUPON,2025
2025-07-19,84,Avondale,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-07-19,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-19,98,Roadport,PETROL,20.0,30.6,1.53,COUPON,2025
2025-07-19,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-20,121,Gweru,DIESEL,60.0,87.6,1.46,COUPON,2025
2025-07-20,131,R Mugabe,DIESEL,20.0,29.4,1.47,COUPON,2025
2025-07-21,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-07-21,98,Roadport,PETROL,40.0,61.2,1.53,COUPON,2025
2025-07-21,121,Gweru,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-07-21,121,Gweru,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-21,131,R Mugabe,DIESEL,20.0,29.4,1.47,COUPON,2025
2025-07-21,135,Cripps,PETROL,20.0,29.6,1.48,COUPON,2025
2025-07-22,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-22,98,Roadport,PETROL,20.0,30.6,1.53,COUPON,2025
2025-07-22,147,Chinhoyi Main,DIESEL,40.0,58.4,1.46,COUPON,2025
2025-07-22,148,Chegutu,DIESEL,80.0,117.6,1.47,COUPON,2025
2025-07-23,84,Avondale,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-23,96,Samora,PETROL,20.0,30.2,1.51,COUPON,2025
2025-07-23,98,Roadport,PETROL,20.0,30.6,1.53,COUPON,2025
2025-07-23,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-25,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-07-25,84,Avondale,PETROL,60.0,90.0,1.5,COUPON,2025
2025-07-25,121,Gweru,DIESEL,60.0,87.6,1.46,COUPON,2025
2025-07-25,145,Sunway City,PETROL,20.0,30.2,1.51,COUPON,2025
2025-07-26,82,Runiville,PETROL,40.0,60.8,1.52,COUPON,2025
2025-07-26,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-26,96,Samora,PETROL,20.0,30.2,1.51,COUPON,2025
2025-07-26,121,Gweru,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-07-26,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-27,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-27,98,Roadport,PETROL,40.0,61.2,1.53,COUPON,2025
2025-07-27,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-27,123,Fife Street,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-28,84,Avondale,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-29,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-07-29,102,Kirkman,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-07-30,84,Avondale,PETROL,40.0,60.0,1.5,COUPON,2025
2025-07-30,92,Msasa,PETROL,20.0,30.8,1.54,COUPON,2025
2025-07-30,121,Gweru,DIESEL,120.0,175.2,1.46,COUPON,2025
2025-07-30,121,Gweru,PETROL,60.0,90.0,1.5,COUPON,2025
2025-07-31,84,Avondale,PETROL,40.0,60.0,1.5,COUPON,2025
2025-08-01,98,Roadport,DIESEL,20.0,29.6,1.48,COUPON,2025
2025-08-01,114,Kadoma,DIESEL,40.0,58.0,1.45,COUPON,2025
2025-08-01,121,Gweru,DIESEL,100.0,146.0,1.46,COUPON,2025
2025-08-01,121,Gweru,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-02,84,Avondale,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-08-02,121,Gweru,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-08-02,135,Cripps,PETROL,20.0,29.6,1.48,COUPON,2025
2025-08-03,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-03,121,Gweru,DIESEL,40.0,58.4,1.46,COUPON,2025
2025-08-04,84,Avondale,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-08-04,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-04,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-04,121,Gweru,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-08-04,149,Turnpike,PETROL,20.0,30.4,1.52,COUPON,2025
2025-08-05,131,R Mugabe,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-08-06,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-08-07,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-07,98,Roadport,PETROL,20.0,30.8,1.54,COUPON,2025
2025-08-08,98,Roadport,PETROL,20.0,30.8,1.54,COUPON,2025
2025-08-09,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-09,96,Samora,PETROL,20.0,30.2,1.51,COUPON,2025
2025-08-09,98,Roadport,PETROL,40.0,61.6,1.54,COUPON,2025
2025-08-09,102,Kirkman,PETROL,20.0,30.4,1.52,COUPON,2025
2025-08-10,96,Samora,PETROL,20.0,30.2,1.51,COUPON,2025
2025-08-11,98,Roadport,PETROL,40.0,61.6,1.54,COUPON,2025
2025-08-12,92,Msasa,PETROL,20.0,31.0,1.55,COUPON,2025
2025-08-12,98,Roadport,PETROL,40.0,61.6,1.54,COUPON,2025
2025-08-12,102,Kirkman,PETROL,20.0,30.4,1.52,COUPON,2025
2025-08-13,96,Samora,PETROL,20.0,30.2,1.51,COUPON,2025
2025-08-13,121,Gweru,DIESEL,40.0,58.4,1.46,COUPON,2025
2025-08-14,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-08-14,88,Seke,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-14,98,Roadport,PETROL,20.0,30.8,1.54,COUPON,2025
2025-08-14,140,Mutare Second Street,PETROL,20.0,29.6,1.48,COUPON,2025
2025-08-15,98,Roadport,PETROL,20.0,30.8,1.54,COUPON,2025
2025-08-17,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-08-17,84,Avondale,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-17,92,Msasa,PETROL,20.0,31.0,1.55,COUPON,2025
2025-08-17,121,Gweru,DIESEL,80.0,116.8,1.46,COUPON,2025
2025-08-18,98,Roadport,PETROL,40.0,61.6,1.54,COUPON,2025
2025-08-19,121,Gweru,DIESEL,20.0,29.2,1.46,COUPON,2025
2025-08-19,148,Chegutu,DIESEL,20.0,29.4,1.47,COUPON,2025
2025-08-20,131,R Mugabe,DIESEL,20.0,30.0,1.5,COUPON,2025
2025-08-21,82,Runiville,PETROL,20.0,30.4,1.52,COUPON,2025
2025-08-21,86,Charter,PETROL,20.0,30.0,1.5,COUPON,2025
2025-08-21,121,Gweru,DIESEL,40.0,58.4,1.46,COUPON,2025
2024-12-18,139.0,Head Office,PETROL,0.00641,0.01,1.56,CARD,2024
2025-02-01,139.0,Head Office,DIESEL,0.006173,0.01,1.62,CARD,2025
2025-02-01,139.0,Head Office,PETROL,0.02564,0.04,1.56,CARD,2025
2025-02-26,139.0,Head Office,PETROL,0.00641,0.01,1.56,CARD,2025
2025-02-27,139.0,Head Office,DIESEL,0.012346,0.02,1.62,CARD,2025
2025-03-06,139.0,Head Office,DIESEL,0.006173,0.01,1.62,CARD,2025
2025-03-06,139.0,Head Office,PETROL,0.00641,0.01,1.56,CARD,2025
2025-03-07,139.0,Head Office,DIESEL,0.006173,0.01,1.62,CARD,2025
2025-03-07,139.0,Head Office,PETROL,0.01282,0.02,1.56,CARD,2025
2025-03-17,139.0,Head Office,PETROL,0.01282,0.02,1.56,CARD,2025
2025-03-19,139.0,Head Office,DIESEL,0.030865,0.05,1.62,CARD,2025
2025-03-19,139.0,Head Office,PETROL,0.03846,0.06,1.56,CARD,2025
2025-03-20,139.0,Head Office,DIESEL,0.006173,0.01,1.62,CARD,2025
2025-03-20,139.0,Head Office,PETROL,0.01282,0.02,1.56,CARD,2025
2025-03-28,139.0,Head Office,DIESEL,0.024692,0.04,1.62,CARD,2025
2025-03-28,139.0,Head Office,PETROL,0.00641,0.01,1.56,CARD,2025
2025-05-15,139.0,Head Office,PETROL,0.00641,0.01,1.56,CARD,2025
2024-10-29,MPOPOMA,MPOPOMA,PETROL,44.52,417613.68,9380.36,SWIPE,2024
2024-11-08,MPOPOMA,MPOPOMA,PETROL,13.69,123385.86,9012.85,SWIPE,2024
2024-11-10,MPOPOMA,MPOPOMA,PETROL,6.84,56947.32,8325.63,SWIPE,2024
