sale_date,site_id,site_name,product,total_litres,total_amount
2024-10-23,114,Kadoma,KAD-RACE BRAKEFLUID DOT4+ 500ML,1.0,4.0
2024-01-22,145,Sunway City,SUNWAY USD PETROL,170.39473684210526,259.0
2024-01-19,141,Troutbeck,TROUTBECK USD PETROL,584.0764331210189,917.0
2024-07-19,123,Fife Street,FIFE USD PETROL,1525.0000000000002,2257.0
2025-01-08,82,Runiville,RUN-QUARTZ 9000 SAE 5W40 500ML,1.0,5.0
2024-12-19,129,Khami,BRAKE FLUID 500ML,2.6666666666666665,8.0
2024-12-19,140,Mutare Second Street,MSE-QUARTZ 9000 SAE 5W40 500ML,3.0,15.0
2024-11-06,131,R Mugabe,R MUGABE USD DIESEL,843.9189189189188,1249.0
2024-03-10,148,Chegutu,CHEGUTU USD PETROL,1157.0469798657718,1724.0
2023-12-29,146,Banket,BANKET USD PETROL,1382.2368421051053,2101.0
2025-01-31,135,Cripps,CRIPPS PETROL USD,453.3783783783784,671.0
2025-02-03,149,Turnpike,TURNPIKE USD DIESEL,120.80536912751678,180.0
2024-06-24,96,Samora,SAMORA USD DIESEL,13.333333333333334,20.0
2024-06-11,147,Chinhoyi Main,CHINHOYI MAIN USD DIESEL,2250.0,3330.0
2023-12-18,88,Seke,SEKE USD DIESEL,977.5,1564.0
2024-10-12,135,Cripps,CRIPPS PETROL USD,748.6301369863014,1093.0
2025-01-23,135,Cripps,CRIPPS DIESEL USD,367.34693877551024,540.0
2024-10-26,140,Mutare Second Street,MUTARE SECOND USD DIESEL,1767.1428571428573,2474.0
2024-01-22,149,Turnpike,TURNPIKE USD DIESEL,490.625,785.0
2024-12-30,88,Seke,SEKE USD PETROL,911.4864864864865,1349.0
2024-01-13,150,Mutare One Stop,MUTARE ONE STOP PETROL,2239.5833333333335,3225.0
2024-11-10,121,Gweru,GWERU USD PETROL,1201.207027027027,1777.78
2024-02-26,114,Kadoma,KADOMA USD PETROL,259.2356687898089,407.0
2024-01-24,84,Avondale,AVONDALE USD PETROL,1029.0322580645166,1595.0
2024-09-22,102,Kirkman,KIR-QUARTZ 5000 20W50 500ML,1.0,3.0
2024-12-15,82,Runiville,RUNIVILLE USD DIESEL,46.97986577181208,70.0
2024-03-22,82,Runiville,RUNIVILLE USD DIESEL,98.18181818181819,162.0
2024-10-29,98,Roadport,ROADPORT USD DIESEL BUS,1119.0140845070423,1589.0
2024-08-19,98,Roadport,ROADPORT USD DIESEL BUS,519.3103448275862,753.0
2024-01-22,121,Gweru,GWERU USD PETROL,440.13774193548386,682.21
2024-10-10,135,Cripps,CRIPPS BULK DIESEL USD,1337.66,1899.46
2024-11-13,123,Fife Street,FIFE USD DIESEL,1082.4324324324325,1602.0
2024-01-04,84,Avondale,AVONDALE USD UNLEADED PETROL,1270.9677419354837,1970.0
2024-07-04,149,Turnpike,TURNPKIE USD UNLEADED PETROL,25.157232704402514,40.0
2024-06-04,114,Kadoma,KADOMA USD PETROL,882.0,1323.0
2024-07-05,121,Gweru,GWERU USD PETROL,1093.0433333333335,1639.56
2025-01-17,127,Mpopoma,MPOPOMA BULK DIESEL USD,468.7074829931973,689.0
2024-04-05,112,Marondera,MARONDERA USD DIESEL,964.1176470588238,1475.1
2024-08-25,135,Cripps,CRIPPS DIESEL USD,359.3103448275863,521.0
2023-12-25,125,Fort Street,FORT USD DIESEL,431.0975609756098,707.0
2024-08-05,127,Mpopoma,MPOPOMA USD DIESEL,585.3333333333333,878.0
2024-08-02,112,Marondera,MARONDERA USD PETROL,104.16666666666666,150.0
2024-05-10,88,Seke,SEKE USD DIESEL,3396.666666666667,5095.0
2024-06-02,84,Avondale,AVONDALE USD DIESEL,25.806451612903224,40.0
2024-04-23,98,Roadport,ROAPORT USD PETROL,861.5384615384619,1344.0
2024-11-02,160,Zaka ,ZAKA USD PETROL,1485.2348993288592,2213.0
2024-08-21,123,Fife Street,FIFE USD DIESEL,70.94594594594595,105.0
2024-03-06,147,Chinhoyi Main,CHINHOYI MAIN USD PETROL,1572.1854304635451,2374.0
2023-12-05,131,R Mugabe,R MUGABE USD PETROL,1160.6451612903227,1799.0
2024-01-02,98,Roadport,ROADPORT USD DIESEL,482.2619047619048,810.2
2024-01-13,148,Chegutu,CHEGUTU USD DIESEL,753.6585365853658,1236.0
2024-03-03,135,Cripps,CRIPPS PETROL USD,500.00000000000006,740.0
2025-01-08,98,Roadport,ROAPORT USD PETROL,4040.540540540541,5980.0
2025-01-08,110,Mutare Green Market,MUTARE GREENMARKET USD PETROL,2488.3661971830993,3533.48
2024-10-26,150,Mutare One Stop,MUTARE ONE STOP DIESEL,2553.892857142857,3575.45
2024-09-08,86,Charter,CHA-RUBIA TIR 7400 15W40 500ML,1.0,3.0
2024-04-16,140,Mutare Second Street,MUTARE SECOND USD PETROL,13.157894736842104,20.0
2023-12-01,148,Chegutu,CHEGUTU USD PETROL,1187.2483221476507,1769.0
2025-01-20,148,Chegutu,CHEGUTU BULK DIESEL USD,689.6551724137931,1000.0
2024-11-10,114,Kadoma,KADOMA CASH DIESEL DISCOUNT,1042.2535211267607,1480.0
2024-03-02,114,Kadoma,KADOMA USD PETROL,305.73248407643314,480.0
2024-11-20,96,Samora,SAMORA USD PETROL TAXIS,945.5172413793105,1371.0
2024-07-06,112,Marondera,MARONDERA USD DIESEL,380.55555555555554,548.0
2024-03-26,114,Kadoma,KADOMA USD DIESEL,368.5236890323706,544.0
2025-01-26,114,Kadoma,KADOMA USD PETROL,1264.583333333333,1821.0
2025-01-10,149,Turnpike,TUR-QUARTZ 4X4 15W40 500ML,1.0,3.0
2024-03-18,102,Kirkman,KIRKMAN USD UNLEADED PETROL,103.1446540880503,164.0
2024-08-24,125,Fort Street,FORT USD DIESEL,139.1891891891892,206.0
2024-10-09,146,Banket,BAN-RUBIA SX SAE40 500ML,2.6666666666666665,8.0
2024-04-09,148,Chegutu,CHEGUTU USD PETROL,1088.235294117647,1665.0
2024-09-06,98,Roadport,ROADPORT USD DIESEL BUS,1972.4137931034481,2860.0
2024-11-11,112,Marondera, MARONDERA PETROL TAXIS,1097.857142857143,1537.0
2024-09-17,149,Turnpike,TURNPIKE USD PETROL,752.7027027027027,1114.0
2025-01-08,150,Mutare One Stop,MUTARE ONE STOP PETROL,981.3611111111111,1413.16
2024-09-19,150,Mutare One Stop,MUTARE ONE STOP PETROL,1648.5714285714284,2308.0
2023-12-05,140,Mutare Second Street,MUTARE SECOND USD PETROL,115.97222222222223,167.0
2024-12-01,149,Turnpike,TURNPIKE USD DIESEL,650.0,962.0
2024-05-21,123,Fife Street,FIFE USD DIESEL,815.2317880794701,1231.0
2024-08-21,140,Mutare Second Street,MUTARE SECOND USD DIESEL,647.2972972972974,958.0
2024-07-20,102,Kirkman,KIRKMAN BULK DIESEL USD,834.4827586206897,1210.0
2024-01-24,121,Gweru,GWERU USD PETROL,444.34516129032255,688.73
2024-02-24,148,Chegutu,CHEGUTU USD PETROL,836.9127516778524,1247.0
2024-09-15,112,Marondera,MARONDERA USD PETROL,653.5211267605634,928.0
2024-07-20,145,Sunway City,SUNWAY USD DIESEL,2196.6666666666665,3295.0
2024-01-25,114,Kadoma,KADOMA USD PETROL,252.25806451612902,391.0
2024-06-26,125,Fort Street,FORT UNLEADED PETROL USD,20.12578616352201,32.0
2024-06-04,145,Sunway City,SUNWAY BULK DIESEL USD,124.13793103448276,180.0
2024-12-01,121,Gweru,GWERU BULK DIESEL USD,200.0,290.0
2024-08-15,110,Mutare Green Market,MUTARE GREEN MARKET BULK DIESEL,865.2777777777778,1246.0
2024-06-04,125,Fort Street,FORT UNLEADED PETROL USD,72.95597484276729,116.0
