barcode,booklet_number,activation_date_local,company_name,coupon_status
ABD-2503-0002843,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002844,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002845,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002846,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002847,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002848,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002849,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002850,BBD-2503-0000114,2025-11-25 11:37:06,Sharon School,ACTIVE
ABD-2503-0002851,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0002859,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0002864,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0002865,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0002866,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0002867,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0002868,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0002869,BBD-2503-0000115,2025-10-24 14:04:53,Sharon School,ACTIVE
ABD-2503-0004802,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004805,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004806,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
ABD-2503-0004809,BBD-2503-0000193,2025-09-04 14:05:40,Livestock Identification Trust,ACTIVE
