sale_date,site_id,site_name,product,total_litres,total_amount
2023-04-03,SAMORA,SAMORA,SAMORA USD PETROL,265.16,410.75
2024-03-10,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,60.0,93.0
2024-12-26,FORT STREET,FORT STREET,FORT USD PETROL,31.33,46.5
2023-11-21,FIFE STREET,FIFE STREET,FIFE USD PETROL,131.01,206.98
2025-04-03,CHEGUTU,CHEGUTU,CHEGUTU USD PETROL,13.7,18.98
2024-10-07,BANKET,BANKET,BANKET USD PETROL,74.31,109.52
2024-06-08,SAMORA,SAMORA,SAMORA USD DIESEL,53.33,79.5
2025-04-10,KADOMA,KADOMA,KADOMA USD PETROL,27.97,38.61
2024-12-14,TROUTBECK,TROUTBECK,TROUTBECK USD PETROL,40.54,59.2
2024-04-06,FIFE STREET,FIFE STREET,FIFE USD PETROL,125.47,196.25
2024-03-11,FIFE STREET,FIFE STREET,FIFE USD PETROL,7.09,10.85
2025-04-30,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,183.67,269.01
2024-10-23,KHAMI,KHAMI,KHAMI USD PETROL,73.97,106.58
2024-02-12,SUNWAY CITY,SUNWAY CITY,SUNWAY USD UNLEADED PETROL,18.89,29.52
2025-11-12,KHAMI,KHAMI,KHAMI USD PETROL,19.73,28.88
2025-04-22,KADOMA,KADOMA,KADOMA USD PETROL,20.69,29.0
2024-06-29,KHAMI,KHAMI,KHAMI USD PETROL,20.54,29.2
2025-06-16,KADOMA,KADOMA,PETROL,3.44,27793.62
2024-11-10,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,46.97,68.54
2024-10-31,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,1330.87,1981.7
2023-03-27,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,106.8,1687440.0
2025-07-18,MARONDERA,MARONDERA,MARONDERA USD DIESEL,475.21,693.5
2025-06-25,KADOMA,KADOMA,KADOMA USD PETROL,33.1,47.85
2025-10-09,R MUGABE,R MUGABE,R MUGABE USD PETROL,9.86,13.68
2023-04-07,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,387.46,611.46
2025-11-29,R MUGABE,R MUGABE,R MUGABE USD PETROL,25.97,38.5
2025-10-16,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,38.74,57.38
2025-03-06,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,35.09,52.85
2024-09-10,SEKE,SEKE,SEKE USD PETROL,226.02,329.96
2024-06-03,RUNIVILLE,RUNIVILLE,RUNIVILLE BULK DIESEL USD,4133.0,5992.85
2025-05-13,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,6.8,8.82
2023-05-16,ROADPORT,ROADPORT,ROAPORT USD PETROL,65.94,100.75
2023-04-18,SUNWAY CITY,SUNWAY CITY,SUNWAY USD PETROL,130.18,206.7
2025-01-30,R MUGABE,R MUGABE,R MUGABE USD PETROL,44.0,66.0
2025-10-30,MPOPOMA,MPOPOMA,MPOPOMA BULK DIESEL USD,2623.1,3855.81
2024-08-24,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,800.0,1184.0
2024-07-05,BANKET,BANKET,BANKET USD DIESEL,19.73,28.88
2025-02-10,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,48.93,71.52
2023-12-13,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,35.06,53.9
2025-11-23,FIFE STREET,FIFE STREET,FIFE USD PETROL,457.01,702.24
2025-01-24,KADOMA,KADOMA,KADOMA USD PETROL,13.69,18.72
2025-10-20,FIFE STREET,FIFE STREET,FIFE USD PETROL,196.04,296.4
2024-07-22,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,74.31,109.52
2024-10-25,KADOMA,KADOMA,KADOMA USD PETROL,16.55,23.2
2024-09-02,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,30.2,44.7
2024-08-28,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,39.18,57.72
2023-06-28,GWABALANDA,GWABALANDA,GWABALANDA USD DIESEL,196.2,309.68
2025-07-07,ROADPORT,ROADPORT,ROAPORT USD PETROL,138.0,207.0
2024-03-31,R MUGABE,R MUGABE,R MUGABE USD DIESEL,55.7,84.7
2024-12-20,FIFE STREET,FIFE STREET,FIFE USD PETROL,232.66,348.0
2024-05-29,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,13.42,19.37
2024-01-10,FORT STREET,FORT STREET,FORT USD PETROL,9.67,13.95
2024-10-18,R MUGABE,R MUGABE,R MUGABE USD PETROL,25.34,36.5
2024-04-29,MUTARE SECOND STREET,MUTARE SECOND STREET,MUTARE SECOND USD DIESEL,58.44,89.32
2023-08-20,AVONDALE,AVONDALE,AVONDALE USD PETROL,123.6,198.03
2023-08-10,FORT STREET,FORT STREET,FORT USD PETROL,158.82,241.74
2023-05-31,RUNIVILLE,RUNIVILLE,PETROL,118.85,206831.58
2025-12-08,MARONDERA,MARONDERA,MARONDERA USD PETROL,310.52,471.2
2024-04-13,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,48.75,76.8
2024-11-01,GWERU,GWERU,GWERU USD DIESEL,20.27,29.6
2024-08-10,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,87.83,128.76
2025-07-02,R MUGABE,R MUGABE,R MUGABE USD PETROL,6.0,9.0
2024-11-27,MUTARE SECOND STREET,MUTARE SECOND STREET,MUTARE SECOND USD PETROL,25.0,35.0
2024-06-05,ROADPORT,ROADPORT,ROAPORT USD PETROL,84.89,126.0
2024-02-24,AVONDALE,AVONDALE,AVONDALE USD PETROL,154.19,238.7
2023-05-28,ROADPORT,ROADPORT,ROAPORT USD PETROL,93.55,144.15
2023-11-07,AVONDALE,AVONDALE,AVONDALE USD PETROL,242.82,392.04
2024-06-11,CHEGUTU,CHEGUTU,CHEGUTU USD PETROL,16.66,24.0
2023-05-24,SAMORA,SAMORA,SAMORA USD PETROL,100.0,153.0
2025-08-14,MARONDERA,MARONDERA,MARONDERA USD PETROL,475.48,712.5
2025-06-24,FORT STREET,FORT STREET,FORT USD PETROL,40.81,58.8
2025-02-13,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,27.89,39.69
2023-08-25,ROADPORT,ROADPORT,ROAPORT USD PETROL,12.73,18.84
2025-04-03,BANKET,BANKET,BANKET USD PETROL,18.79,26.82
2025-05-19,ROADPORT,ROADPORT,ROAPORT USD PETROL,24.66,36.0
2025-10-11,SUNWAY CITY,SUNWAY CITY,SUNWAY USD PETROL,434.43,659.68
2023-06-29,FORT STREET,FORT STREET,FORT USD PETROL,65.34,99.45
2025-05-20,BANKET,BANKET,BANKET BULK DIESEL USD,462.23,660.66
2025-09-21,FORT STREET,FORT STREET,FORT USD PETROL,101.56,151.5
2024-02-10,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,301.89,478.59
2023-07-29,MSASA,MSASA,MSASA USD PETROL,500.0,755.0
2023-04-24,ROADPORT,ROADPORT,ROAPORT USD PETROL,142.06,220.1
2023-09-11,MSASA,MSASA,MSASA USD PETROL,19.48,29.26
2024-08-16,R MUGABE,R MUGABE,R MUGABE USD PETROL,140.0,203.0
2024-04-06,SUNWAY CITY,SUNWAY CITY,SUNWAY USD DIESEL,90.2,137.7
2023-05-20,MSASA,MSASA,MSASA USD PETROL,227.79,349.58
2023-05-12,AVONDALE,AVONDALE,AVONDALE USD DIESEL,76.66,122.36
2024-09-11,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,203.45,296.38
2025-03-09,FORT STREET,FORT STREET,FORT USD DIESEL,202.05,294.92
2023-04-18,MPOPOMA,MPOPOMA,MPOPOMA USD PETROL,5.09,7.85
