created_at_local,product,amount,quantity
2025-09-13 19:06:27.549101,CHI-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-13 21:52:44.641620,MSA-RUBIA SX SAE40 500ML,6,2.0
2025-09-14 06:39:48.635775,RM-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-14 11:17:16.539619,FIF-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-14 11:19:28.393865,FIF-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-14 11:20:02.051583,FIF-QUARTZ 9000 SAE 5W40 500ML,20,4.0
2025-09-14 11:20:56.504559,FIF-RUBIA SX SAE40 500ML,30,10.0
2025-09-14 11:21:40.100537,FIF-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-14 11:23:18.650641,FIF-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-14 14:14:56.877597,FIF-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-14 15:58:37.322160,FIF-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-14 17:15:50.509522,CHA-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-17 00:09:45.009490,CHE-QUARTZ 4X4 15W40 500ML,9,3.0
2025-09-17 00:09:45.201897,CHE-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-17 07:55:08.251247,KAD-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-17 07:55:41.125487,KAD-RUBIA SX SAE40 500ML,6,2.0
2025-09-17 09:36:27.391825,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-17 10:34:13.434388,FOR-RUBIA SX SAE40 500ML,3,1.0
2025-09-17 11:00:12.756432,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-17 11:27:29.105450,TUR-RUBIA SX SAE40 500ML,3,1.0
2025-09-17 17:57:10.109668,GWE-RUBIA SX SAE40 500ML,9,3.0
2025-09-17 18:07:35.075670,KIR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-17 18:08:41.477451,KIR-RUBIA SX SAE40 500ML,3,1.0
2025-09-17 18:19:11.998446,MPO-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-17 18:19:57.882537,MPO-QUARTZ 5000 20W50 500ML,12,4.0
2025-09-17 18:21:05.231620,MPO-RUBIA TIR 7400 15W40 500ML,6,2.0
2025-09-17 18:21:39.042503,MPO-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-17 18:22:23.895260,MPO-RACE BRAKEFLUID DOT4+ 500ML,8,2.0
2025-09-17 18:23:08.871134,MPO-RUBIA SX SAE40 500ML,6,2.0
2025-09-17 18:29:06.492516,FOR-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-17 18:30:03.340901,FOR-RUBIA SX SAE40 500ML,3,1.0
2025-09-17 18:56:22.834354,RUN-RUBIA SX SAE40 500ML,6,2.0
2025-09-17 20:35:21.109821,CHI-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-20 09:09:30.139836,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-20 09:40:34.134491,SEK-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-20 12:12:01.144148,GWE-RUBIA SX SAE40 500ML,3,1.0
2025-09-20 14:25:12.112690,RUN-QUARTZ 3000 SG 20W50 500ML,3,1.0
